date,total_put_call_ratio,index_put_call_ratio,equity_put_call_ratio,status,fetched_at_utc
2026-03-02,0.94,1.10,0.67,ok,2026-03-13T05:44:07Z
2026-03-03,0.96,0.98,0.72,ok,2026-03-13T05:44:07Z
2026-03-04,0.94,1.04,0.65,ok,2026-03-13T05:44:07Z
2026-03-05,0.90,1.06,0.60,ok,2026-03-13T05:44:07Z
2026-03-06,0.96,1.12,0.67,ok,2026-03-13T05:44:07Z
2026-03-09,1.00,1.02,0.64,ok,2026-03-13T05:44:07Z
2026-03-10,0.94,1.07,0.57,ok,2026-03-13T05:44:07Z
2026-03-11,1.05,1.01,0.80,ok,2026-03-13T05:44:07Z
2026-03-12,0.91,1.00,0.68,ok,2026-03-13T05:44:07Z
