signal,horizon,n,avg_return,win_rate,median_return,p10_return,p90_return
DATA_INSUFFICIENT,5,487,0.003112,0.443532,-0.004444,-0.057242,0.068938
DATA_INSUFFICIENT,10,487,0.003404,0.433265,-0.009585,-0.088889,0.102619
DATA_INSUFFICIENT,20,487,-0.010453,0.410678,-0.024,-0.169231,0.147727
DATA_INSUFFICIENT,30,487,-0.017492,0.418891,-0.026201,-0.20347,0.175904
DATA_INSUFFICIENT,50,487,-0.010771,0.451745,-0.017201,-0.235088,0.166018
DOW_BOS_BREAK_DOWN,5,263,0.000343,0.498099,0.0,-0.053378,0.054217
DOW_BOS_BREAK_DOWN,10,263,0.00203,0.505703,0.001253,-0.070063,0.077627
DOW_BOS_BREAK_DOWN,20,263,0.000174,0.520913,0.005507,-0.117173,0.11156
DOW_BOS_BREAK_DOWN,30,262,0.008886,0.519084,0.00537,-0.117011,0.135193
DOW_BOS_BREAK_DOWN,50,259,0.019332,0.509653,0.008571,-0.136312,0.186253
DOW_BOS_BREAK_UP,5,215,0.001447,0.493023,0.0,-0.060381,0.063099
DOW_BOS_BREAK_UP,10,215,-0.001935,0.465116,-0.005208,-0.078981,0.069248
DOW_BOS_BREAK_UP,20,215,-0.006864,0.437209,-0.011011,-0.120319,0.092391
DOW_BOS_BREAK_UP,30,213,-0.001782,0.450704,-0.009375,-0.131243,0.126512
DOW_BOS_BREAK_UP,50,211,0.006399,0.488152,-0.001588,-0.166333,0.146858
DOW_LAST_HIGH_H,5,7365,-0.001149,0.48296,0.0,-0.054054,0.050532
DOW_LAST_HIGH_H,10,7365,-0.00161,0.479022,-0.001504,-0.077964,0.073788
DOW_LAST_HIGH_H,20,7365,-0.000614,0.483639,-0.002013,-0.107143,0.104839
DOW_LAST_HIGH_H,30,7329,0.000223,0.474144,-0.004858,-0.129854,0.133077
DOW_LAST_HIGH_H,50,7229,0.012787,0.502282,0.001721,-0.16236,0.201918
DOW_LAST_HIGH_HH,5,30328,0.001901,0.493438,0.0,-0.050725,0.052332
DOW_LAST_HIGH_HH,10,30328,0.003116,0.491526,0.0,-0.070101,0.075525
DOW_LAST_HIGH_HH,20,30328,0.004453,0.497593,0.0,-0.098709,0.109401
DOW_LAST_HIGH_HH,30,30187,0.005417,0.497797,0.0,-0.128264,0.141215
DOW_LAST_HIGH_HH,50,29813,0.015547,0.50374,0.001672,-0.163242,0.199845
DOW_LAST_HIGH_LH,5,92720,0.001792,0.488773,0.0,-0.049373,0.054054
DOW_LAST_HIGH_LH,10,92720,0.003804,0.497487,0.0,-0.071178,0.080685
DOW_LAST_HIGH_LH,20,92720,0.007844,0.511087,0.002926,-0.102564,0.121762
DOW_LAST_HIGH_LH,30,92092,0.011437,0.512444,0.003603,-0.126891,0.152318
DOW_LAST_HIGH_LH,50,90749,0.016283,0.513681,0.004785,-0.164683,0.200573
DOW_LAST_LOW_HL,5,66468,0.001914,0.490206,0.0,-0.048231,0.051762
DOW_LAST_LOW_HL,10,66468,0.003739,0.494133,0.0,-0.069401,0.077082
DOW_LAST_LOW_HL,20,66468,0.007308,0.507989,0.002284,-0.099415,0.118052
DOW_LAST_LOW_HL,30,65992,0.010296,0.51041,0.003236,-0.125275,0.148895
DOW_LAST_LOW_HL,50,65077,0.017438,0.513945,0.005,-0.161905,0.200552
DOW_LAST_LOW_L,5,6964,-0.000755,0.47444,-0.000873,-0.051213,0.050157
DOW_LAST_LOW_L,10,6964,-0.002261,0.473148,-0.002036,-0.075632,0.072131
DOW_LAST_LOW_L,20,6964,0.000671,0.491241,0.0,-0.104671,0.10362
DOW_LAST_LOW_L,30,6907,0.002996,0.493557,0.0,-0.128497,0.132044
DOW_LAST_LOW_L,50,6759,0.009746,0.494008,-0.000452,-0.168,0.193023
DOW_LAST_LOW_LL,5,57325,0.001686,0.490449,0.0,-0.051584,0.0563
DOW_LAST_LOW_LL,10,57325,0.003597,0.499416,0.0,-0.073071,0.083316
DOW_LAST_LOW_LL,20,57325,0.006668,0.508033,0.002413,-0.10467,0.120882
DOW_LAST_LOW_LL,30,57039,0.009518,0.506005,0.002233,-0.129032,0.15161
DOW_LAST_LOW_LL,50,56301,0.015046,0.508961,0.003425,-0.166667,0.20202
DOW_NEW_HH,5,30325,0.001898,0.493421,0.0,-0.050725,0.052332
DOW_NEW_HH,10,30325,0.003109,0.491476,0.0,-0.070101,0.075519
DOW_NEW_HH,20,30325,0.004442,0.497543,0.0,-0.098709,0.109325
DOW_NEW_HH,30,30184,0.005408,0.497747,0.0,-0.128264,0.141215
DOW_NEW_HH,50,29810,0.015535,0.50369,0.001666,-0.163265,0.199953
DOW_NEW_LL,5,57308,0.001681,0.490403,0.0,-0.051587,0.056283
DOW_NEW_LL,10,57308,0.003589,0.499389,0.0,-0.073097,0.083295
DOW_NEW_LL,20,57308,0.006664,0.508027,0.002411,-0.104671,0.120873
DOW_NEW_LL,30,57022,0.009487,0.505963,0.002223,-0.129032,0.151538
DOW_NEW_LL,50,56284,0.014992,0.508866,0.003401,-0.166667,0.201956
DOW_RESET,5,478,0.00084,0.495816,0.0,-0.055446,0.055591
DOW_RESET,10,478,0.000247,0.487448,-0.00182,-0.075833,0.074627
DOW_RESET,20,478,-0.002992,0.483264,-0.002093,-0.119091,0.104012
DOW_RESET,30,475,0.004102,0.488421,-0.001743,-0.121667,0.132673
DOW_RESET,50,470,0.013526,0.5,0.000952,-0.152727,0.172139
DOW_TREND_CHANGE_DOWN_TO_NEUTRAL,5,7907,0.001605,0.495131,0.0,-0.049861,0.053771
DOW_TREND_CHANGE_DOWN_TO_NEUTRAL,10,7907,0.00362,0.498293,0.0,-0.072289,0.078957
DOW_TREND_CHANGE_DOWN_TO_NEUTRAL,20,7907,0.005063,0.502972,0.00151,-0.104478,0.118806
DOW_TREND_CHANGE_DOWN_TO_NEUTRAL,30,7879,0.007729,0.500698,0.000529,-0.131313,0.14741
DOW_TREND_CHANGE_DOWN_TO_NEUTRAL,50,7758,0.012018,0.503094,0.00155,-0.172012,0.190476
DOW_TREND_CHANGE_NEUTRAL_TO_DOWN,5,8345,0.001578,0.495746,0.0,-0.05093,0.054777
DOW_TREND_CHANGE_NEUTRAL_TO_DOWN,10,8345,0.001725,0.491911,0.0,-0.074935,0.07828
DOW_TREND_CHANGE_NEUTRAL_TO_DOWN,20,8345,0.00396,0.499221,0.0,-0.106522,0.115702
DOW_TREND_CHANGE_NEUTRAL_TO_DOWN,30,8320,0.005332,0.493269,0.0,-0.131983,0.14652
DOW_TREND_CHANGE_NEUTRAL_TO_DOWN,50,8215,0.012148,0.502861,0.001268,-0.165272,0.198795
DOW_TREND_CHANGE_NEUTRAL_TO_UP,5,4508,0.002238,0.494676,0.0,-0.05375,0.052365
DOW_TREND_CHANGE_NEUTRAL_TO_UP,10,4508,0.003615,0.496007,0.0,-0.075082,0.07767
DOW_TREND_CHANGE_NEUTRAL_TO_UP,20,4508,0.007362,0.499113,0.0,-0.097826,0.110537
DOW_TREND_CHANGE_NEUTRAL_TO_UP,30,4471,0.006648,0.505256,0.001592,-0.127243,0.140741
DOW_TREND_CHANGE_NEUTRAL_TO_UP,50,4414,0.013614,0.495469,-0.000266,-0.165487,0.197761
DOW_TREND_CHANGE_UP_TO_NEUTRAL,5,4181,0.001055,0.474288,-0.000264,-0.050056,0.052732
DOW_TREND_CHANGE_UP_TO_NEUTRAL,10,4181,0.003218,0.488161,0.0,-0.069079,0.075334
DOW_TREND_CHANGE_UP_TO_NEUTRAL,20,4181,0.00576,0.50299,0.001295,-0.098827,0.11674
DOW_TREND_CHANGE_UP_TO_NEUTRAL,30,4156,0.007641,0.503128,0.001479,-0.127359,0.143345
DOW_TREND_CHANGE_UP_TO_NEUTRAL,50,4085,0.022341,0.511628,0.004739,-0.158534,0.208914
DOW_TREND_DOWN,5,48861,0.001683,0.49035,0.0,-0.051522,0.05614
DOW_TREND_DOWN,10,48861,0.003726,0.501074,0.000644,-0.07356,0.083538
DOW_TREND_DOWN,20,48861,0.007425,0.511758,0.003015,-0.105548,0.122882
DOW_TREND_DOWN,30,48587,0.010486,0.509663,0.00303,-0.128378,0.153017
DOW_TREND_DOWN,50,47938,0.014853,0.509325,0.003559,-0.167659,0.201875
DOW_TREND_NEUTRAL,5,62178,0.001463,0.486442,0.0,-0.048292,0.052419
DOW_TREND_NEUTRAL,10,62178,0.002754,0.490029,0.0,-0.070103,0.07727
DOW_TREND_NEUTRAL,20,62178,0.005992,0.503361,0.001362,-0.101036,0.116547
DOW_TREND_NEUTRAL,30,61747,0.009481,0.505806,0.002132,-0.126939,0.146892
DOW_TREND_NEUTRAL,50,60809,0.016518,0.513016,0.004619,-0.16233,0.198864
DOW_TREND_UP,5,22389,0.002025,0.49569,0.0,-0.050848,0.051471
DOW_TREND_UP,10,22389,0.003785,0.495243,0.0,-0.070423,0.075727
DOW_TREND_UP,20,22389,0.006136,0.503596,0.001182,-0.097139,0.113064
DOW_TREND_UP,30,22266,0.007073,0.503593,0.001589,-0.124786,0.144554
DOW_TREND_UP,50,22013,0.017118,0.507246,0.002981,-0.161142,0.203143
ENTRY_SETUP_VALID,5,22824,0.001576,0.48725,0.0,-0.03854,0.041885
ENTRY_SETUP_VALID,10,22824,0.002925,0.499562,0.0,-0.058238,0.064398
ENTRY_SETUP_VALID,20,22824,0.006139,0.51459,0.003038,-0.08309,0.09988
ENTRY_SETUP_VALID,30,22564,0.008047,0.519722,0.004012,-0.10515,0.126381
ENTRY_SETUP_VALID,50,22040,0.010368,0.511162,0.003551,-0.142395,0.165919
INVALIDATED,5,20220,-0.00064,0.490603,0.0,-0.055556,0.055268
INVALIDATED,10,20220,0.000843,0.493175,0.0,-0.079848,0.081967
INVALIDATED,20,20220,0.005344,0.512957,0.003243,-0.111864,0.122029
INVALIDATED,30,20141,0.007951,0.50782,0.002503,-0.135402,0.151589
INVALIDATED,50,19898,0.01659,0.518042,0.005855,-0.164706,0.202834
NO_SIGNAL,5,69580,0.00217,0.490313,0.0,-0.0525,0.057416
NO_SIGNAL,10,69580,0.004008,0.493648,0.0,-0.073856,0.084092
NO_SIGNAL,20,69580,0.006865,0.502529,0.001125,-0.105337,0.125
NO_SIGNAL,30,69194,0.00983,0.50302,0.00148,-0.132727,0.156135
NO_SIGNAL,50,68335,0.017938,0.508949,0.003752,-0.171463,0.213178
STABILIZATION_CONFIRMED,5,9656,0.003657,0.491301,0.0,-0.04672,0.05309
STABILIZATION_CONFIRMED,10,9656,0.005401,0.491715,0.0,-0.067174,0.08046
STABILIZATION_CONFIRMED,20,9656,0.010472,0.512531,0.002852,-0.097222,0.119107
STABILIZATION_CONFIRMED,30,9593,0.017696,0.526009,0.005867,-0.117812,0.156522
STABILIZATION_CONFIRMED,50,9465,0.025685,0.528579,0.008645,-0.15579,0.21041
TREND_MATURED,5,24745,0.000961,0.485795,0.0,-0.045434,0.047323
TREND_MATURED,10,24745,0.002006,0.49509,0.0,-0.066852,0.071361
TREND_MATURED,20,24745,0.003954,0.501758,0.001004,-0.098,0.104895
TREND_MATURED,30,24606,0.005806,0.500528,0.000419,-0.119839,0.13382
TREND_MATURED,50,24284,0.008643,0.506259,0.002465,-0.157484,0.178821
TREND_STARTED,5,2013,0.002523,0.522603,0.002398,-0.051683,0.054565
TREND_STARTED,10,2013,0.004802,0.522106,0.003571,-0.068997,0.078133
TREND_STARTED,20,2013,0.004498,0.522106,0.005495,-0.101036,0.111864
TREND_STARTED,30,2010,0.007785,0.50796,0.00227,-0.133537,0.151899
TREND_STARTED,50,1989,0.020818,0.524384,0.008633,-0.158088,0.199051
