horizon,state,n_days,state_occupancy,avg_return,win_rate
5,NO_TRADE,129416,0.966404,0.001611,0.48929
5,DOWNTREND_EARLY,3433,0.025636,0.00237,0.492863
5,STABILIZING,613,0.004578,0.003567,0.473083
5,DOWNTREND_LATE,311,0.002322,-0.000413,0.482315
5,ENTRY_WINDOW,100,0.000747,-0.000778,0.41
5,PASS,42,0.000314,0.034352,0.571429
10,NO_TRADE,129416,0.966404,0.003271,0.495395
10,DOWNTREND_EARLY,3433,0.025636,0.003147,0.483833
10,STABILIZING,613,0.004578,0.009519,0.455139
10,DOWNTREND_LATE,311,0.002322,-0.011613,0.398714
10,ENTRY_WINDOW,100,0.000747,0.012737,0.5
10,PASS,42,0.000314,0.049515,0.595238
20,NO_TRADE,129416,0.966404,0.006296,0.506468
20,DOWNTREND_EARLY,3433,0.025636,0.011064,0.50801
20,STABILIZING,613,0.004578,0.026097,0.458401
20,DOWNTREND_LATE,311,0.002322,-0.039578,0.363344
20,ENTRY_WINDOW,100,0.000747,0.057928,0.58
20,PASS,42,0.000314,0.12896,0.880952
30,NO_TRADE,128602,0.9663,0.008902,0.506252
30,DOWNTREND_EARLY,3427,0.02575,0.020861,0.525241
30,STABILIZING,610,0.004583,0.049545,0.521311
30,DOWNTREND_LATE,311,0.002337,-0.052958,0.315113
30,ENTRY_WINDOW,97,0.000729,0.082262,0.608247
30,PASS,40,0.000301,0.145859,0.8
50,NO_TRADE,126834,0.966376,0.014445,0.509067
50,DOWNTREND_EARLY,3378,0.025738,0.052554,0.558615
50,STABILIZING,604,0.004602,0.10487,0.581126
50,DOWNTREND_LATE,298,0.002271,-0.018182,0.315436
50,ENTRY_WINDOW,95,0.000724,0.121258,0.684211
50,PASS,38,0.00029,0.236578,0.894737
