yr,horizon,n_top10,avg_top10,avg_all,avg_lift_top10_vs_all,win_top10,win_all,win_lift_top10_vs_all
2020,5,3292,0.104393,0.006371,0.098022,1.0,0.536828,0.463172
2020,10,3578,0.151043,0.012886,0.138157,1.0,0.563697,0.436303
2020,20,4070,0.211377,0.026069,0.185307,1.0,0.601826,0.398174
2020,30,4296,0.268969,0.03973,0.229239,1.0,0.623681,0.376319
2020,50,4947,0.366714,0.074551,0.292163,1.0,0.655518,0.344482
2021,5,2082,0.095514,0.005104,0.090409,1.0,0.519971,0.480029
2021,10,2162,0.140265,0.009764,0.130501,1.0,0.529553,0.470447
2021,20,2114,0.206491,0.016968,0.189523,1.0,0.551435,0.448565
2021,30,2132,0.252019,0.022901,0.229117,1.0,0.550606,0.449394
2021,50,2069,0.342137,0.027265,0.314871,1.0,0.531718,0.468282
2022,5,2330,0.092425,-0.004425,0.09685,1.0,0.444177,0.555823
2022,10,2017,0.133284,-0.008282,0.141566,1.0,0.437972,0.562028
2022,20,1856,0.187164,-0.014168,0.201333,1.0,0.429802,0.570198
2022,30,1699,0.226462,-0.019659,0.246121,1.0,0.421499,0.578501
2022,50,1286,0.282063,-0.025961,0.308024,1.0,0.426588,0.573412
2023,5,1783,0.087489,-0.000937,0.088426,1.0,0.463797,0.536203
2023,10,1692,0.122965,-0.002382,0.125346,1.0,0.458278,0.541722
2023,20,1424,0.179895,-0.006132,0.186028,1.0,0.440221,0.559779
2023,30,1256,0.230268,-0.01047,0.240738,1.0,0.423311,0.576689
2023,50,1026,0.305556,-0.019289,0.324844,1.0,0.404415,0.595585
2024,5,1709,0.092804,-0.000354,0.093158,1.0,0.464549,0.535451
2024,10,1616,0.13388,-0.000878,0.134759,1.0,0.458945,0.541055
2024,20,1417,0.201974,-0.000403,0.202377,1.0,0.473151,0.526849
2024,30,1426,0.249255,0.000738,0.248517,1.0,0.475584,0.524416
2024,50,1565,0.326657,0.007025,0.319632,1.0,0.49735,0.50265
2025,5,2196,0.105081,0.004481,0.100599,1.0,0.510261,0.489739
2025,10,2327,0.154277,0.009348,0.144929,1.0,0.525435,0.474565
2025,20,2511,0.224537,0.017992,0.206545,1.0,0.547652,0.452348
2025,30,2500,0.281866,0.025594,0.256272,1.0,0.554709,0.445291
2025,50,2232,0.383622,0.038215,0.345407,1.0,0.562414,0.437586
